timestamp,angle_raw_1,angle_interp_1,angle_sg_1,pos_raw_1,pos_interp_1,pos_sg_1
233,-63.32746711950078,-63.32746711950078,-63.32746711950078,-100.0,-100.0,-100.0
234,-66.79483317618455,-66.79483317618455,-66.79483317618455,-100.0,-100.0,-100.0
235,-54.36206683010574,-54.36206683010574,-54.36206683010574,-100.0,-100.0,-100.0
236,-67.89158420779373,-67.89158420779373,-67.89158420779373,-100.0,-100.0,-100.0
237,-57.193186022378455,-57.193186022378455,-57.193186022378455,-100.0,-100.0,-100.0
238,-66.18033130003374,-66.18033130003374,-66.18033130003374,-100.0,-100.0,-100.0
239,-62.346404526464156,-62.346404526464156,-62.346404526464156,-100.0,-100.0,-100.0
240,0.0,0.0,0.0,-100.0,-100.0,-100.0
241,-74.1934814494925,-74.1934814494925,-74.1934814494925,-100.0,-100.0,-100.0
242,-50.06488700196764,-50.06488700196764,-50.06488700196764,-100.0,-100.0,-100.0
243,-52.059053274207855,-52.059053274207855,-52.059053274207855,-100.0,-100.0,-100.0
244,-40.907135006270614,-40.907135006270614,-40.907135006270614,-100.0,-100.0,-100.0
245,-33.37363378233136,-33.37363378233136,-33.37363378233136,-100.0,-100.0,-100.0
246,-26.43093947556634,-26.43093947556634,-26.43093947556634,-100.0,-100.0,-100.0
247,-22.494703479413683,-22.494703479413683,-22.494703479413683,-100.0,-100.0,-100.0
248,-15.613076587662105,-15.613076587662105,-16.163719525277955,332.35,332.35,334.8470635865701
249,-17.650708554848315,-17.650708554848315,-15.772605909051553,339.2105263157895,339.2105263157895,335.99109311741074
250,-13.692959103613024,-13.692959103613024,-14.194962916252202,340.6,340.6,337.12882829245245
251,-10.063608813906603,-10.063608813906603,-11.799704036671816,338.15,338.15,338.02768992617473
252,-14.584275763727018,-14.584275763727018,-8.66483718358139,336.6,336.6,338.81627530364557
253,-9.920571709350252,-9.920571709350252,-5.121761408661337,336.45,336.45,338.9660776375346
254,-0.2742709176420055,-0.2742709176420055,-1.5293762106059692,341.0,341.0,339.25316027625814
255,1.9105491661305651,1.9105491661305651,1.537038652367274,341.35,341.35,339.0147630388206
256,10.028083477054706,10.028083477054706,3.7474482759581895,337.9,337.9,337.9965420338194
257,8.815308335089421,8.815308335089421,3.9708299391311694,336.6,336.6,337.41742081448155
258,8.530833466780011,8.530833466780011,5.156276208242053,336.8,336.8,337.0011312217213
