numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
39,593,1293,2063,2928,3771,889,977,975,1171,1371,219.013,191.165,184.917,175.769,183.24,-0.0168058,0.00572417,0.00345984,0.0132478,0.0117803
40,597,1294,2063,2925,3765,890,976,978,1174,1371,220.175,193.673,186.283,177.649,185.08,-0.0165332,0.00499543,0.00336877,0.0135652,0.012772
41,588,1295,2064,2921,3755,889,978,977,1173,1376,226.684,202.591,185.554,181.103,192.842,-0.0143523,-0.0048231,0.00275751,0.0141231,0.0122878
42,605,1299,2065,2920,3753,892,980,980,1173,1409,216.654,195.37,185.596,182.017,192.938,-0.017248,0.00166121,0.00278404,0.0129574,0.0114507
43,595,1293,2063,2926,3766,888,976,976,1172,1371,217.945,186.595,185.321,177.589,186.038,-0.0174744,0.0107355,0.00233647,0.0130014,0.0121238
44,571,1293,2064,2915,3760,890,976,977,1186,1404,234.22,202.346,184.507,185.852,191.471,-0.00993157,-0.00513695,0.00293212,0.0153114,0.0112749
45,593,1295,2063,2924,3765,890,976,977,1173,1372,221.101,190.869,185.973,179.482,186.914,-0.0165196,0.00599791,0.0027216,0.0129278,0.0118301
46,595,1295,2065,2926,3769,890,977,978,1173,1371,219.397,191.905,184.797,177.849,183.947,-0.0172549,0.00488215,0.00186862,0.0133669,0.011697
47,593,1293,2063,2927,3770,890,976,977,1172,1371,219.24,188.312,185.396,176.526,183.789,-0.0170926,0.00894147,0.00293732,0.0138332,0.0116561
48,598,1294,2062,2916,3771,890,976,979,1214,1372,217.769,202.918,186.604,184.928,182.295,-0.0183211,-0.00556748,0.0028741,0.014831,0.0111714
49,598,1295,2061,2926,3767,890,979,978,1173,1372,217.263,197.701,187.601,177.033,184.765,-0.0183031,-0.00105736,0.00285355,0.0141901,0.0128791
50,606,1300,2064,2917,3766,892,981,979,1174,1371,216.345,200.264,186.576,183.805,183.936,-0.0184122,-0.00428504,0.00344348,0.0149836,0.0111252
51,597,1297,2063,2913,3757,890,977,978,1230,1419,219.561,184.976,186.777,186.694,191.398,-0.0163037,0.0120021,0.00279574,0.015731,0.0113896
52,595,1295,2064,2913,3765,890,978,978,1243,1374,219.044,198.258,185.678,186.968,186.086,-0.0161796,-0.00141285,0.00213441,0.01549,0.012641
53,601,1297,2069,2926,3756,891,977,979,1175,1397,219.531,187.385,183.211,177.78,190.076,-0.0165577,0.0113329,0.00196387,0.0111394,0.0116535
54,601,1300,2066,2919,3761,892,979,977,1173,1372,219.521,193.153,185.06,181.612,186.414,-0.0166741,0.00279964,0.00297108,0.0141276,0.0121805
55,598,1297,2066,2926,3762,891,978,977,1173,1373,219.196,196.576,184.991,177.863,187.431,-0.0167464,0.000308373,0.00160953,0.0119491,0.0121011
56,592,1296,2062,2916,3761,890,978,978,1213,1373,220.564,198.299,186.975,184.426,190.16,-0.0164194,-0.00302023,0.00264557,0.0159086,0.0116244
57,603,1297,2067,2927,3763,891,979,978,1173,1373,215.664,179.737,184.265,176.736,187.595,-0.0182343,0.0169693,0.00275877,0.012497,0.0115626
58,598,1297,2064,2920,3758,890,977,979,1173,1437,219.119,198.771,186.228,181.427,190.463,-0.0169001,-0.0020987,0.00258675,0.015001,0.0118305
59,594,1278,2063,2921,3764,889,977,977,1172,1372,218.95,211.587,185.887,180.924,188.261,-0.01708,0.00144011,0.00257568,0.0143754,0.0108708
60,597,1291,2064,2926,3769,890,976,977,1172,1371,219.812,191.883,186.62,177.64,182.418,-0.0161797,0.0113687,0.00244058,0.0124311,0.0111891
61,603,1300,2070,2922,3762,891,977,977,1173,1370,218.123,193.741,183.097,180.029,186.007,-0.0167865,0.00331342,0.00208326,0.0131672,0.0112341
62,593,1294,2063,2925,3761,890,977,978,1172,1374,219.627,196.813,186.103,178.436,190.109,-0.0168844,0.000116168,0.00354667,0.0125351,0.0114494
63,600,1296,2063,2925,3763,891,977,980,1172,1372,215.997,200.281,186.431,177.639,187.148,-0.0182645,-0.00387521,0.00273895,0.0144328,0.0128383
64,593,1294,2064,2925,3761,889,978,975,1172,1394,219.307,199.541,185.259,177.938,190.117,-0.0171174,-0.00263028,0.00316833,0.0145821,0.0116504
65,593,1294,2064,2918,3761,889,977,976,1179,1379,219.165,199.758,185.565,182.949,189.538,-0.0167522,-0.00282961,0.00184255,0.0155715,0.0121624
66,598,1294,2063,2927,3766,889,978,978,1173,1373,216.074,191.818,186.617,176.754,185.366,-0.018496,0.00508822,0.0020467,0.013023,0.0136365
67,595,1294,2063,2927,3761,890,974,977,1172,1407,217.936,196.317,186.66,176.752,190.258,-0.0172636,0.000949777,0.00234434,0.013398,0.0115555
68,590,1294,2061,2926,3769,890,978,978,1172,1371,221.603,199.99,187.901,177.442,184.042,-0.0159894,-0.00273932,0.00262054,0.0139612,0.0123118
69,595,1292,2065,2929,3759,890,975,977,1172,1415,217.905,189.893,185.414,175.955,192.108,-0.0172953,0.00897843,0.00223574,0.0121342,0.0113243
70,597,1298,2069,2921,3763,890,977,977,1173,1370,219.895,191.898,183.112,180.232,186.396,-0.0166008,0.00458592,0.00284288,0.0150048,0.0121416
71,595,1295,2067,2925,3766,890,977,978,1173,1372,217.913,197.578,183.847,177.918,186.288,-0.0172105,-0.00101702,0.00162182,0.0133443,0.0119297
72,595,1295,2061,2924,3761,890,977,978,1174,1436,217.994,198.92,187.897,178.511,189.885,-0.0174543,-0.00257673,0.00275561,0.0142426,0.0120653
73,599,1298,2066,2920,3761,891,975,976,1172,1371,218.414,191.446,185.414,181.593,187.509,-0.0171003,0.00507407,0.00188235,0.0143539,0.0127179
74,596,1295,2062,2923,3767,890,975,977,1172,1372,218.309,194.079,187.638,179.472,184.678,-0.0169035,0.00347894,0.00325375,0.0142853,0.012082
75,595,1295,2061,2923,3767,890,977,976,1172,1372,218.362,194.285,188.312,180.274,185.162,-0.01739,0.0026572,0.00261801,0.0134896,0.0122276
76,593,1295,2062,2931,3767,889,977,976,1171,1371,219.331,200.273,186.937,173.761,185.087,-0.016824,-0.00393451,0.00325741,0.0119948,0.0127962
77,593,1294,2062,2926,3763,890,978,977,1172,1372,219.147,200.196,187.044,177.804,187.807,-0.0168559,-0.00291445,0.00312461,0.0123734,0.0128014
78,595,1289,2065,2918,3763,889,975,977,1173,1372,218.848,203.471,185.932,183.186,187.164,-0.0165478,-9.94422e-05,0.00168245,0.0153879,0.012784
79,596,1295,2063,2925,3759,890,978,975,1170,1438,217.556,193.925,186.422,178.265,190.962,-0.0176416,0.00229163,0.0030261,0.0134048,0.0120293
80,598,1297,2064,2916,3761,890,977,977,1174,1372,217.474,199.133,186.287,184.345,188.854,-0.0178386,-0.00293501,0.00261126,0.0158531,0.0122911
81,593,1293,2063,2926,3770,889,977,977,1171,1371,218.358,180.048,185.838,177.806,183.804,-0.0172974,0.0170514,0.00369565,0.0129799,0.0120473
82,599,1298,2066,2914,3753,891,979,977,1225,1404,218.176,187.71,185.931,186.208,193.482,-0.0166418,0.00878341,0.00149391,0.0149132,0.0129054
83,593,1294,2067,2922,3763,889,976,976,1171,1417,218.409,193.351,183.222,180.653,189.006,-0.0176146,0.00326822,0.00269513,0.014484,0.0120919
84,601,1297,2063,2929,3764,890,976,977,1172,1372,216.595,198.313,187.984,174.936,185.108,-0.0179132,-0.000638348,0.00293305,0.0117233,0.0126679
85,597,1278,2065,2924,3761,889,978,976,1171,1398,215.574,206.55,184.521,178.651,190.179,-0.0188096,0.00558781,0.00282958,0.0137811,0.012479
86,591,1294,2063,2921,3771,888,976,975,1171,1371,218.985,192.824,186.351,181.8,183.117,-0.0166946,0.00370157,0.00236306,0.0143374,0.0120802
87,568,1294,2060,2923,3760,888,976,976,1172,1409,234.826,198.911,188.813,179.849,191.065,-0.00945798,-0.00286255,0.00269592,0.0143821,0.0126399
88,592,1293,2062,2923,3769,889,977,976,1171,1371,218.91,200.056,186.956,179.858,184.138,-0.0173072,-0.00275899,0.00318457,0.0144268,0.0130969
89,594,1294,2065,2925,3761,889,977,975,1171,1392,218.624,200.648,185.354,178.754,189.922,-0.0171614,-0.00327064,0.00264188,0.0130447,0.011788
90,594,1293,2065,2913,3760,889,974,977,1181,1409,217.62,194.513,185.149,187.498,190.991,-0.0180137,0.00271555,0.00219869,0.0155257,0.0128442
91,593,1293,2063,2916,3767,889,976,976,1204,1371,218.04,199.839,186.598,185.406,186.42,-0.0173481,-0.00263681,0.00250309,0.0149762,0.0120117
92,594,1294,2064,2918,3761,889,975,976,1172,1374,218.407,200.928,186.267,183.271,189.932,-0.0176352,-0.00346789,0.00217018,0.0156695,0.0120829
93,591,1293,2064,2919,3764,888,975,976,1177,1371,219.489,190.078,186.151,183.006,189.22,-0.016761,0.00779704,0.00177176,0.0155245,0.0111491
94,590,1294,2067,2928,3762,889,976,976,1170,1390,220.264,199.183,183.699,176.344,189.934,-0.0168125,-0.00286801,0.00161856,0.0120018,0.0118553
95,596,1294,2067,2926,3768,889,976,976,1171,1372,216.839,200.333,184.388,177.258,184.819,-0.0178537,-0.00314882,0.00187778,0.0136047,0.0120936
96,593,1278,2067,2918,3762,888,975,975,1172,1374,217.795,210.854,184.453,183.712,190.044,-0.017306,0.0021553,0.000823514,0.0153308,0.0116466
97,591,1280,2062,2923,3764,888,977,976,1172,1372,220.948,209.977,187.551,180.262,186.845,-0.0164088,0.00189923,0.00298901,0.0134538,0.0137934
98,593,1279,2062,2923,3766,889,976,977,1172,1372,218.023,207.962,187.892,179.967,186.083,-0.0172008,0.0041985,0.00206016,0.013937,0.0131764
99,590,1294,2062,2925,3762,887,974,977,1170,1372,220.139,200.429,187.655,177.527,189.501,-0.0164457,-0.00329926,0.00244095,0.0145182,0.0126936
100,592,1293,2066,2916,3771,889,976,976,1182,1371,218.448,196.356,184.791,184.862,183.077,-0.0167578,0.00126142,0.00203436,0.0157094,0.0117538
101,600,1296,2064,2924,3760,889,978,977,1171,1383,215.008,199.544,186.739,179.334,190.723,-0.0189833,-0.00350386,0.00220459,0.0132406,0.0113262
102,596,1294,2062,2915,3764,889,976,976,1241,1375,216.362,199.022,187.806,185.709,187.906,-0.0182775,-0.00224225,0.00214172,0.015694,0.0121184
103,587,1295,2057,2922,3759,888,975,976,1174,1402,222.258,199.258,191.275,180.215,191.929,-0.015437,-0.00364151,0.00368629,0.0148141,0.0119531
104,595,1296,2066,2926,3767,888,975,975,1171,1371,216.969,197.822,185.27,177.872,185.703,-0.0179064,-0.0026572,0.00146852,0.0132292,0.0126471
105,593,1293,2065,2923,3765,889,976,975,1171,1372,218.314,200.565,185.871,179.583,186.59,-0.0174414,-0.00314987,0.00136905,0.0139794,0.0138667
106,591,1295,2062,2921,3761,889,977,977,1171,1373,219.864,199.578,187.531,181.764,189.85,-0.0168849,-0.00339654,0.00295304,0.0141118,0.0124071
107,598,1291,2062,2914,3765,889,976,976,1184,1373,215.397,205.747,187.926,186.644,186.937,-0.0192004,-0.0059712,0.00261287,0.015677,0.0130014
108,594,1281,2064,2923,3769,890,976,978,1171,1371,218.317,196.929,186.379,179.297,183.636,-0.0165815,0.014389,0.00298391,0.0142337,0.0116462
109,592,1291,2065,2921,3768,889,973,976,1171,1371,219.018,184.854,185.364,181.889,185.155,-0.0168366,0.0149351,0.00283667,0.0142417,0.0126791
110,594,1288,2065,2924,3763,890,975,976,1171,1371,218.842,202.381,185.95,178.883,187.705,-0.016757,0.0019528,0.00242292,0.0139997,0.0129795
111,596,1293,2064,2923,3760,888,975,976,1172,1372,216.753,201.4,186.964,179.922,191.183,-0.0184079,-0.00345081,0.00130655,0.0141886,0.0114014
112,592,1295,2063,2927,3759,889,975,976,1172,1383,218.959,199.34,187.158,176.893,191.569,-0.0170413,-0.00325313,0.00247219,0.0126674,0.0118207
113,596,1296,2064,2926,3769,889,977,979,1171,1371,217.893,196.627,187.167,178.246,183.838,-0.0175218,-0.000312672,0.00203354,0.0126372,0.0116508
114,596,1294,2065,2914,3774,889,978,976,1178,1372,216.107,199.224,185.997,186.471,180.914,-0.0178606,-0.00208598,0.00217203,0.0153076,0.0100229
115,594,1295,2063,2923,3766,889,976,977,1170,1371,218.575,193.129,187.786,180.036,185.202,-0.0166015,0.00401697,0.00262577,0.013681,0.0131071
116,593,1296,2069,2923,3758,889,977,975,1171,1386,219.353,194.563,183.359,180.808,191.454,-0.0164507,0.0018872,0.00186175,0.0122296,0.0119003
117,594,1289,2065,2925,3769,889,975,976,1171,1371,218.834,198.169,186.102,178.701,183.459,-0.0165847,0.00549602,0.00313079,0.0131291,0.0118318
118,590,1294,2064,2926,3759,888,976,975,1172,1387,220.915,188.228,186.717,177.596,191.338,-0.0161299,0.00938147,0.0020452,0.013314,0.0126928
119,593,1295,2067,2919,3761,889,974,976,1171,1372,219.432,200.977,184.711,182.522,189.385,-0.0165304,-0.00334788,0.00249011,0.0153454,0.0121975
120,593,1280,2064,2926,3765,889,975,977,1171,1371,218.126,204.395,186.671,178.356,186.215,-0.0166188,0.00725341,0.00224452,0.0125585,0.0135845
121,595,1294,2065,2913,3764,889,975,975,1172,1374,216.72,200.137,186.188,187.577,187.457,-0.0176313,-0.00280735,0.00208297,0.015187,0.0122319
122,593,1294,2068,2925,3759,889,977,977,1172,1373,218.484,201.259,183.945,179.18,191.757,-0.0170905,-0.00403264,0.00157867,0.0122539,0.0120944
123,594,1297,2062,2927,3760,889,976,976,1171,1372,218.884,199.625,188.63,177.249,190.382,-0.0166966,-0.00409421,0.00268915,0.0128036,0.0117781
124,593,1288,2067,2926,3768,889,977,976,1171,1371,218.099,201.545,184.716,177.676,184.648,-0.0165611,0.00192947,0.00201147,0.0128181,0.0122729
125,597,1296,2063,2916,3771,889,977,976,1227,1371,215.716,199.463,187.611,185.613,182.733,-0.0185141,-0.00371983,0.00258627,0.0146035,0.0120853
126,595,1281,2062,2926,3760,888,974,976,1170,1375,217.079,210.004,187.989,177.73,190.889,-0.0175433,0.000642883,0.00258325,0.0131864,0.011947
127,590,1294,2064,2913,3753,889,977,976,1171,1385,220.892,200.657,186.619,187.31,195.531,-0.0166332,-0.00334468,0.0022905,0.0155429,0.0136455
128,594,1296,2062,2914,3769,889,977,975,1223,1371,218.767,194.923,188.359,186.816,182.882,-0.0167313,0.00197792,0.00300747,0.0149378,0.0120863
129,593,1300,2064,2926,3769,889,977,976,1171,1372,218.487,197.202,186.937,177.891,183.5,-0.0168433,-0.00484442,0.00196754,0.0120102,0.0124999
130,597,1281,2062,2927,3769,889,976,976,1171,1370,215.987,209.577,188.188,177.471,184.206,-0.0185513,0.00116435,0.00278728,0.0126099,0.0119508
131,595,1296,2061,2922,3761,889,976,977,1171,1375,217.644,199.142,188.995,181.686,189.9,-0.0176426,-0.00312017,0.00358305,0.0137378,0.0128617
132,594,1281,2063,2925,3766,889,976,976,1172,1372,217.873,209.826,187.602,179.483,185.891,-0.0172426,0.00085019,0.00233134,0.012591,0.0129389
133,593,1295,2065,2915,3764,889,976,976,1189,1372,218.345,189.455,186.507,186.1,187.458,-0.0168083,0.0073223,0.00194931,0.015264,0.0129014
134,596,1289,2066,2921,3758,889,976,977,1172,1374,217.75,196.484,185.874,181.422,191.577,-0.0172405,0.00740569,0.00219744,0.0142514,0.0116037
135,597,1294,2065,2923,3764,889,974,977,1171,1372,215.982,196.727,186.504,180.008,187.744,-0.0184301,0.000886347,0.00143413,0.0144665,0.0116299
136,591,1289,2061,2927,3764,888,976,975,1170,1371,220.456,196.226,188.717,176.676,187.678,-0.0169319,0.00625992,0.00341903,0.0135048,0.0122382
137,594,1295,2067,2912,3766,888,977,976,1171,1371,217.537,193.267,184.96,188.253,186.03,-0.0171248,0.00361448,0.00109911,0.0154921,0.0126302
138,596,1279,2064,2923,3761,889,977,977,1171,1374,216.651,201.669,187.361,180.425,189.685,-0.017993,0.0109198,0.00185644,0.0136343,0.0124286
139,594,1281,2064,2914,3763,890,977,977,1171,1372,219.579,209.532,187.887,187.414,187.232,-0.0167974,0.00261045,0.00193374,0.0146228,0.0134152
140,574,1295,2067,2919,3768,887,977,976,1170,1371,232.13,191.12,184.812,183.136,184.708,-0.0112702,0.00617479,0.00218361,0.014683,0.0119344
141,592,1288,2066,2914,3766,889,976,975,1218,1370,219.466,198.465,185.766,186.522,186.413,-0.0164992,0.00525408,0.0015316,0.0158743,0.0118151
142,595,1297,2068,2920,3759,888,976,974,1171,1409,218.946,198.666,184.729,182.03,190.864,-0.0171286,-0.00253848,0.00207628,0.0146883,0.0111392
143,593,1289,2066,2923,3760,889,977,977,1170,1371,220.119,195.233,185.9,179.161,189.054,-0.0164429,0.00825637,0.00232793,0.0149677,0.0130194
144,595,1295,2067,2913,3765,888,975,975,1171,1371,217.596,199.618,185.245,187.966,186.11,-0.0178788,-0.00279566,0.000967746,0.0146649,0.0130496
145,592,1288,2067,2914,3767,888,975,976,1223,1371,219.478,206.477,185.276,187.016,185.834,-0.0166799,-0.00309905,0.00134489,0.0151903,0.0113885
146,589,1296,2063,2921,3762,889,976,974,1170,1372,221.692,185.978,187.789,181.327,188.982,-0.0162888,0.00995535,0.00302849,0.0146633,0.0116124
147,595,1295,2066,2927,3769,888,976,976,1170,1370,217.406,201.213,185.857,177.373,183.914,-0.0175762,-0.00423554,0.00130031,0.0129004,0.0118732
148,593,1297,2063,2923,3771,889,976,976,1171,1371,218.913,199.539,188.948,180.35,183.009,-0.0167427,-0.00401155,0.00177637,0.0147831,0.0108295
149,598,1301,2067,2918,3759,890,978,975,1172,1386,216.264,197.88,185.401,183.767,190.142,-0.0176971,-0.00520646,0.00204859,0.0153843,0.0124158
150,595,1281,2067,2913,3759,889,977,975,1178,1438,218.269,203.789,185.647,187.737,190.179,-0.0164754,0.00843814,0.00186771,0.0149666,0.0117835
151,593,1295,2062,2926,3771,888,976,976,1169,1370,218.564,200.692,188.712,178.646,182.94,-0.0164951,-0.00386987,0.00262951,0.0121607,0.0108848
152,593,1295,2067,2914,3759,888,977,975,1233,1411,218.695,200.862,185.042,187.128,191.373,-0.0166878,-0.00350216,0.00217079,0.0150805,0.0112506
153,595,1296,2067,2922,3771,889,976,974,1170,1371,217.37,201.28,185.444,181.891,182.449,-0.0173453,-0.00493665,0.00150796,0.0129283,0.0113192
154,593,1281,2065,2923,3761,888,977,976,1171,1396,219.172,202.424,186.597,180.495,189.243,-0.0169656,0.00848544,0.00251492,0.0139066,0.0125263
155,598,1297,2072,2916,3761,890,976,976,1173,1375,216.677,199.275,182.286,185.631,189.268,-0.0173586,-0.00312669,0.000693806,0.0149825,0.0113933
156,598,1295,2065,2920,3767,888,976,975,1171,1371,216.047,195.27,186.647,182.75,185.052,-0.0188,0.00215777,0.00292026,0.0150822,0.0125884
157,595,1297,2067,2918,3761,888,976,975,1175,1376,218.514,198.805,185.71,184.171,188.967,-0.0166748,-0.00257547,0.00210994,0.0142389,0.0114784
158,597,1288,2062,2926,3759,889,975,976,1173,1375,216.434,202.4,188.795,178.691,190.497,-0.0180673,0.00148705,0.00275186,0.0117786,0.0125709
159,594,1296,2064,2926,3758,888,976,975,1170,1439,218.427,189.068,187.419,178.603,191.747,-0.0170817,0.00715347,0.00211628,0.0129994,0.0117501
160,593,1297,2065,2923,3755,889,977,976,1171,1419,220.81,197.878,187.628,180.398,193.012,-0.0164356,-0.00121681,0.00133673,0.0136152,0.0126928
161,596,1295,2067,2923,3758,889,977,976,1170,1397,217.556,201.144,185.838,180.632,191.885,-0.0181774,-0.00401313,0.00122788,0.0135782,0.0115738
162,589,1295,2068,2920,3763,887,974,975,1171,1371,221.892,181.516,184.389,182.428,187.604,-0.0156861,0.0153615,0.00168122,0.0145365,0.0130697
163,598,1288,2064,2914,3759,890,977,977,1236,1373,215.724,190.747,187.687,186.714,190.939,-0.0183883,0.0131527,0.00225981,0.0153998,0.0120882
164,593,1292,2065,2915,3764,888,976,975,1227,1371,218.963,204.093,186.685,186.13,187.098,-0.0169684,-0.00429931,0.00221023,0.0151503,0.0123782
165,596,1295,2067,2925,3763,889,975,977,1172,1373,216.632,198.154,185.019,178.415,187.177,-0.017373,-0.000824858,0.00188445,0.0137692,0.0136178
166,591,1297,2065,2919,3764,888,976,975,1170,1370,221.734,199.56,187.113,183.654,186.748,-0.0162395,-0.00338873,0.00181687,0.0145356,0.0125833
167,592,1301,2070,2926,3763,888,977,975,1170,1372,218.823,196.148,183.028,178.481,188.319,-0.0169122,-0.00470109,0.000805733,0.0126775,0.0121602
168,595,1281,2064,2918,3766,889,975,976,1172,1372,217.3,201.573,187.488,183.898,185.73,-0.0180185,0.00894851,0.00168379,0.0157737,0.0131627
169,596,1295,2064,2915,3767,887,975,974,1228,1370,216.29,199.564,187.441,186.909,185.692,-0.018097,-0.00248244,0.00203445,0.0144821,0.0127781
170,587,1295,2063,2921,3769,888,977,976,1170,1371,222.91,200.266,188.009,181.423,184.243,-0.0158449,-0.00382727,0.00231447,0.0150623,0.0119181
171,594,1278,2068,2923,3763,889,976,976,1170,1372,217.659,205.025,184.2,180.339,187.738,-0.0176072,0.00830209,0.00166853,0.0145781,0.0132003
172,596,1294,2066,2925,3760,888,974,974,1170,1371,216.532,202.168,185.881,179.58,190.794,-0.0179875,-0.00456269,0.00211254,0.0131581,0.0119619
173,592,1292,2064,2923,3764,889,975,975,1170,1372,219.43,193.353,187.651,180.879,186.949,-0.0166853,0.00581295,0.00208964,0.0141814,0.0133124
174,592,1292,2064,2918,3766,887,974,974,1170,1371,219.153,176.348,187.636,184.083,185.474,-0.0166178,0.0230318,0.00213871,0.015806,0.0131611
175,598,1298,2065,2926,3761,891,978,980,1172,1372,217.458,200.713,187.626,178.605,187.817,-0.0170707,-0.00463503,0.00184716,0.0114947,0.0121896
176,594,1295,2066,2922,3766,889,976,976,1170,1371,218.589,198.742,186.279,180.819,186.302,-0.0174054,-0.00163685,0.00171593,0.0152745,0.0119954
177,594,1296,2065,2915,3763,888,976,974,1181,1371,218.192,199.982,186.669,186.498,187.901,-0.0175934,-0.00379284,0.00167384,0.0151463,0.0126492
178,593,1299,2065,2915,3760,889,978,977,1199,1411,218.494,198.438,186.86,186.335,190.994,-0.017136,-0.00500596,0.00143043,0.0159928,0.0102645
179,599,1296,2067,2921,3767,888,975,974,1170,1371,214.674,199.556,185.65,182.094,185.412,-0.0185879,-0.00369236,0.00116677,0.0143533,0.0120411
180,592,1296,2060,2918,3763,888,974,976,1172,1371,219.933,200.21,190.37,184.499,187.656,-0.0165381,-0.00372678,0.00307077,0.0147697,0.0129941
181,565,1296,2066,2916,3771,887,976,975,1207,1371,237.026,199.421,186.446,185.78,182.559,-0.00732075,-0.00318722,0.000934292,0.0153257,0.0109539
182,595,1298,2067,2925,3771,889,976,975,1169,1370,218.437,200.151,186.264,179.858,182.347,-0.0162669,-0.00462983,0.00133589,0.0128356,0.0102099
183,594,1295,2064,2913,3771,888,976,976,1240,1371,218.096,193.218,187.561,188.414,182.591,-0.0170928,0.00403824,0.00222172,0.014924,0.0106447
184,593,1295,2065,2918,3760,889,975,976,1190,1372,218.996,195.854,187.171,184.323,190.338,-0.0167893,0.00154447,0.00153044,0.0152482,0.0118332
185,592,1295,2066,2922,3765,887,975,973,1169,1371,219.515,201.36,186.169,181.682,186.41,-0.0165051,-0.00426733,0.00236889,0.0137126,0.0126026
186,593,1296,2065,2925,3760,888,975,974,1170,1373,219.491,200.081,187.7,179.692,190.275,-0.016932,-0.00389474,0.00081003,0.01303,0.0120112
187,595,1301,2067,2915,3763,887,976,975,1229,1371,217.607,196.866,184.981,186.95,187.664,-0.0176754,-0.00500342,0.00205913,0.0150294,0.0129396
188,593,1297,2066,2916,3758,889,976,976,1175,1381,219.126,198.657,186.016,185.731,191.841,-0.0169847,-0.00332097,0.00226845,0.0155122,0.0119747
189,594,1301,2065,2924,3764,888,976,976,1169,1371,218.178,196.695,187.203,179.713,186.812,-0.0173778,-0.0049965,0.0011206,0.0136909,0.0131376
190,594,1295,2064,2918,3761,888,976,974,1170,1372,217.925,200.888,187.406,184.697,189.366,-0.0171791,-0.00414579,0.0025769,0.0151213,0.0122247
191,599,1289,2064,2925,3764,888,975,975,1169,1371,214.93,203.132,187.937,179.898,186.735,-0.0184437,3.01157e-05,0.00156413,0.0126099,0.0135169
192,595,1295,2067,2917,3773,888,976,974,1172,1371,217.706,195.864,185.823,185.009,181.381,-0.0174116,0.00140124,0.00200302,0.015834,0.0101679
193,595,1296,2065,2915,3765,887,976,975,1245,1371,217.266,196.443,187.152,186.716,186.526,-0.0171588,-0.000104902,0.00189223,0.0157331,0.0128699
194,594,1281,2062,2923,3759,888,976,976,1170,1373,218.518,210.397,189.458,181.3,190.909,-0.0170256,0.0011906,0.00223417,0.0134903,0.0115677
195,599,1291,2064,2916,3758,889,975,975,1204,1372,216.428,196.875,188.722,185.614,190.994,-0.0179363,0.00604256,0.00193985,0.0154663,0.0117558
196,593,1283,2065,2920,3763,888,975,976,1170,1371,220.913,207.078,187.446,183.028,186.608,-0.0164711,0.00383666,0.00201957,0.0145503,0.0134412
197,595,1297,2066,2924,3758,888,976,975,1170,1375,219.236,201.455,187.101,180.92,190.377,-0.0167555,-0.00471516,0.00129688,0.0122263,0.0121988
198,594,1295,2065,2915,3766,888,975,976,1226,1370,219.063,200.18,187.521,186.499,185.412,-0.017115,-0.00287381,0.00152224,0.0153226,0.0127216
199,596,1295,2064,2927,3766,888,975,975,1169,1370,217.261,184.461,187.963,178.395,185.64,-0.0178472,0.0125005,0.00181562,0.0116922,0.0122916
200,600,1291,2068,2919,3763,889,976,977,1172,1372,216.375,204.815,185.938,183.797,186.944,-0.0182889,-0.00213835,0.000546345,0.014707,0.0132345
201,598,1295,2066,2926,3774,888,975,975,1169,1369,216.124,192.85,186.991,179.552,181.311,-0.0183685,0.00481256,0.00119849,0.0115119,0.00914812
202,595,1296,2066,2915,3761,887,974,975,1203,1372,218.111,197.132,186.125,186.942,189.482,-0.0176653,-0.000597168,0.00165019,0.0148905,0.0113617
203,596,1297,2065,2925,3765,889,977,977,1171,1371,218.595,193.375,187.606,179.611,186.092,-0.0169461,0.00316388,0.00185791,0.0126084,0.0117838
204,600,1291,2067,2925,3760,889,974,976,1169,1372,216.182,201.548,186.182,179.322,189.767,-0.0186258,0.000481646,0.00116037,0.0133371,0.0117617
205,593,1281,2065,2926,3764,889,976,975,1171,1371,219.523,210.279,187.435,178.597,187.046,-0.0163837,0.000924123,0.00191248,0.0137748,0.0127033
206,595,1289,2067,2915,3764,888,975,973,1210,1370,217.764,188.277,185.996,187.029,187.645,-0.0170931,0.0146052,0.00107825,0.0149712,0.0121733
207,593,1296,2065,2915,3766,888,976,975,1221,1370,218.932,199.942,187.183,186.273,186.262,-0.0162984,-0.00321194,0.00229579,0.0159035,0.0119547
208,593,1288,2067,2926,3766,887,974,976,1169,1370,219.068,198.931,185.794,179.917,186.031,-0.0165379,0.00488279,0.00139151,0.0115245,0.0118743
209,596,1288,2062,2926,3764,888,974,977,1169,1370,217.837,199.302,190.152,177.784,186.624,-0.0165229,0.00587776,0.00238782,0.0130442,0.0124153
210,595,1296,2066,2917,3764,889,977,978,1217,1372,217.867,197.734,186.765,185.648,187.113,-0.0172122,-0.000901431,0.00133236,0.0148552,0.0128302
211,587,1296,2062,2920,3762,888,976,976,1171,1372,224.147,199.484,189.668,183.31,188.452,-0.0154977,-0.00321645,0.00221811,0.0147603,0.013473
212,594,1281,2063,2919,3763,889,975,978,1171,1373,218.601,204.047,188.998,183.528,187.84,-0.0169879,0.00715741,0.00197521,0.0151239,0.0129625
213,600,1295,2065,2925,3762,888,974,976,1170,1371,214.816,195.557,187.582,179.128,188.378,-0.0191472,0.00180744,0.00128775,0.0135129,0.0129947
