numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
820,599,1292,2067,2915,3759,888,974,974,1230,1372,218.031,207.065,187.236,186.198,187.838,-0.0164316,-0.00326756,0.000469575,0.0141729,0.0124631
821,595,1305,2068,2913,3761,889,977,977,1242,1372,223.842,198.819,187.653,187.782,186.671,-0.0149935,-0.00491626,-0.000199649,0.0145694,0.0103846
822,603,1293,2068,2922,3760,890,976,976,1170,1374,216.298,198.771,187.014,181.152,187.711,-0.0175381,0.00473838,-2.21831e-05,0.0126263,0.0116156
823,595,1297,2068,2914,3762,888,972,977,1239,1372,222.017,194.829,186.043,186.809,186.968,-0.0156,0.0047917,0.000783224,0.0149508,0.0102318
824,584,1285,2066,2925,3759,888,974,978,1170,1373,229.871,210.132,188.29,177.83,187.757,-0.0131672,0.0014142,0.0002801,0.0126985,0.0124475
825,591,1300,2070,2923,3761,888,976,976,1169,1373,224.885,200.665,185.359,179.621,186.914,-0.0149691,-0.00446497,-0.00068913,0.0126211,0.011567
826,591,1294,2065,2914,3755,888,974,976,1184,1373,226.917,191.545,189.314,186.671,189.285,-0.0141985,0.0124713,0.0014543,0.014867,0.0136029
827,606,1299,2066,2913,3758,890,975,979,1197,1372,215.556,199.845,188.696,187.392,187.389,-0.0178732,-0.000786584,0.000411889,0.0141844,0.0125855
828,600,1287,2063,2913,3761,890,976,976,1184,1372,219.612,209.442,190.836,187.401,186.368,-0.0160474,0.00167633,0.00128334,0.0145269,0.0103923
829,587,1298,2072,2928,3759,888,976,975,1170,1372,229.058,196.817,184.277,175.654,187.387,-0.0128946,0.00302461,-0.00055427,0.0111077,0.0116239
830,587,1305,2067,2925,3771,888,976,977,1169,1372,227.564,197.511,187.475,179.241,179.714,-0.0139232,-0.00547181,5.13818e-05,0.0110407,0.00843625
831,593,1297,2070,2915,3753,888,975,977,1174,1374,224.836,201.283,185.691,185.702,190.995,-0.014806,-2.72046e-05,-9.60778e-05,0.0146667,0.0132549
832,593,1299,2068,2919,3759,889,976,976,1170,1373,223.583,194.277,186.836,182.817,188.32,-0.0156693,0.00347409,-0.000166617,0.0132034,0.011921
