timestamp,angle_raw_3,angle_interp_3,angle_sg_3,angle_raw_2,angle_interp_2,angle_sg_2,angle_raw_1,angle_interp_1,angle_sg_1,pos_raw_3,pos_interp_3,pos_sg_3,pos_raw_2,pos_interp_2,pos_sg_2,pos_raw_1,pos_interp_1,pos_sg_1
290,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,68.35794409985301,68.35794409985301,68.35794409985301,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
291,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,65.80546957453177,65.80546957453177,65.80546957453177,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
292,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,70.89927392893502,70.89927392893502,70.89927392893502,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
293,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,61.006103959178915,61.006103959178915,61.006103959178915,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
294,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,56.817204448657236,56.817204448657236,55.505857551035085,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,567.5,567.5,566.1671945701389
295,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,54.2260316144769,54.2260316144769,54.80448393104353,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,565.5,565.5,565.1682126696863
296,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,53.06401249458064,53.06401249458064,54.0976036411743,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,563.0,563.0,563.6056561086004
297,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,52.980869368971014,52.980869368971014,53.269657882730456,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,562.0,562.0,562.0605203619941
298,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,52.009781170894975,52.009781170894975,52.228587868626235,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,561.5,561.5,560.6845125462803
299,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,51.60198394117755,51.60198394117755,51.39203309264913,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,559.0,559.0,559.3111168243552
300,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.98451655622744,50.98451655622744,50.54668590341861,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,557.0,557.0,558.5998148909945
301,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.741000370282215,49.741000370282215,49.71330578853109,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,555.625,555.625,558.2691000176325
302,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.460279998403074,49.460279998403074,49.07344959983834,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,554.0,554.0,557.1602995044202
303,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.65267919312367,47.65267919312367,48.208029542218895,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,557.0,557.0,555.2616486454752
304,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,46.91902280732517,46.91902280732517,47.43578657669639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,556.0,556.0,553.0331689878781
305,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.05309138573421,48.05309138573421,46.76157870467202,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,553.3636363636364,553.3636363636364,549.885015670607
306,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.48465526381925,45.48465526381925,46.161751231336645,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,552.3636363636364,552.3636363636364,546.313506297627
307,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.92131834036901,44.92131834036901,45.512653745313244,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,543.0,543.0,542.3098281130665
308,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.047332160894214,45.047332160894214,44.863003851817865,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,531.7619047619048,531.7619047619048,538.2092027580293
309,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.23141570091693,44.23141570091693,44.44592566093311,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,530.7142857142857,530.7142857142857,533.491669311084
310,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.09891876605151,45.09891876605151,43.887041926436545,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,529.6190476190476,529.6190476190476,528.9131860296595
311,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,43.767032756316645,43.767032756316645,43.712401439579665,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,522.65,522.65,525.1456251591575
312,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,43.276516595784834,43.276516595784834,43.44688247427676,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,523.047619047619,523.047619047619,522.7736255900991
313,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,42.07192252432976,42.07192252432976,43.413262182793716,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,521.8095238095239,521.8095238095239,521.6550030361824
314,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,42.90604177314771,42.90604177314771,43.389685079578584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,520.1904761904761,520.1904761904761,520.4833872010371
