timestamp,angle_raw_2,angle_interp_2,angle_sg_2,angle_raw_1,angle_interp_1,angle_sg_1,pos_raw_2,pos_interp_2,pos_sg_2,pos_raw_1,pos_interp_1,pos_sg_1
254,-100.0,-100.0,-100.0,-31.89576322825757,-31.89576322825757,-32.965361374278956,-100.0,-100.0,-100.0,285.5,285.5,285.72964608920654
255,-100.0,-100.0,-100.0,-34.57303499970005,-34.57303499970005,-33.28653493762535,-100.0,-100.0,-100.0,285.28571428571433,285.28571428571433,285.8338558500339
256,-100.0,-100.0,-100.0,-33.66904344833387,-33.66904344833387,-33.349418266926534,-100.0,-100.0,-100.0,286.42857142857144,286.42857142857144,286.0454023917275
257,-100.0,-100.0,-100.0,-33.966732401005956,-33.966732401005956,-33.6315169841848,-100.0,-100.0,-100.0,286.42857142857144,286.42857142857144,286.26404330963317
258,0.0,0.0,0.0,0.0,-33.93516844628073,-33.36513676365418,-100.0,-100.0,-100.0,0.0,287.0267857142857,286.6762685843584
259,-100.0,-100.0,-100.0,-33.90360449155549,-33.90360449155549,-33.35071195663046,-100.0,-100.0,-100.0,287.625,287.625,287.1419360051729
260,-100.0,-100.0,-100.0,-32.03030317840594,-32.03030317840594,-32.93991554116022,-100.0,-100.0,-100.0,286.8571428571429,286.8571428571429,287.7495071105381
261,-100.0,-100.0,-100.0,-32.21821290417257,-32.21821290417257,-32.53313076034377,-100.0,-100.0,-100.0,287.625,287.625,288.3288838612384
262,-100.0,-100.0,-100.0,-30.959275659682667,-30.959275659682667,-32.09530578687779,-100.0,-100.0,-100.0,289.125,289.125,288.9363885297725
263,-100.0,-100.0,-100.0,-32.42442237693991,-32.42442237693991,-31.34499994293752,-100.0,-100.0,-100.0,289.5,289.5,289.5692532957255
264,-100.0,-100.0,-100.0,-28.465924222337495,-28.465924222337495,-30.283802439579503,-100.0,-100.0,-100.0,291.1428571428571,291.1428571428571,290.2311188622856
265,-100.0,-100.0,-100.0,-32.01657040636741,-32.01657040636741,-29.08843066369315,-100.0,-100.0,-100.0,291.0,291.0,291.1317098701373
266,-100.0,-100.0,-100.0,-27.626324716541937,-27.626324716541937,-27.823807669061466,-100.0,-100.0,-100.0,292.0,292.0,291.9647776994792
267,-100.0,-100.0,-100.0,-28.74668566311116,-28.74668566311116,-26.72708123461055,-100.0,-100.0,-100.0,291.875,291.875,292.71009585080475
268,-100.0,-100.0,-100.0,-25.6759486996588,-25.6759486996588,-25.18881185824513,-100.0,-100.0,-100.0,293.2222222222222,293.2222222222222,293.15732546792367
269,-100.0,-100.0,-100.0,-20.946559713093894,-20.946559713093894,-24.1907751584633,-100.0,-100.0,-100.0,294.0769230769231,294.0769230769231,293.5047009944109
270,-100.0,-100.0,-100.0,-22.312073177635906,-22.312073177635906,-23.27754032811509,-100.0,-100.0,-100.0,294.27272727272725,294.27272727272725,293.9702831930331
271,-100.0,-100.0,-100.0,-22.089498748745388,-22.089498748745388,-24.28577804501782,-100.0,-100.0,-100.0,295.9090909090909,295.9090909090909,294.4174431045143
