timestamp,angle_raw_3,angle_interp_3,angle_sg_3,angle_raw_2,angle_interp_2,angle_sg_2,angle_raw_1,angle_interp_1,angle_sg_1,pos_raw_3,pos_interp_3,pos_sg_3,pos_raw_2,pos_interp_2,pos_sg_2,pos_raw_1,pos_interp_1,pos_sg_1
249,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,63.71211930117241,63.71211930117241,63.71211930117241,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
250,-100.0,-100.0,-100.0,41.3817627049357,41.3817627049357,41.3817627049357,45.327033722559314,45.327033722559314,46.565315883313154,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,249.5,249.5,258.7620696439125
251,-100.0,-100.0,-100.0,45.061317151855384,45.061317151855384,45.061317151855384,25.65083491423062,46.97877845531889,46.949305222202945,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,263.22826086956525,261.05074759000735
252,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.630523188078456,48.630523188078456,47.499001317337715,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,276.9565217391305,276.9565217391305,262.36897501475653
253,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.02202701983128,49.02202701983128,48.156484077067404,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,268.5,268.5,262.73982884123694
254,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.119349947609486,49.119349947609486,48.2389295497396,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,265.0,265.0,261.964666535512
255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,46.88360599396091,46.88360599396091,48.33419645259468,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,259.0,259.0,259.9977220988744
256,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.80425687372685,48.80425687372685,48.224828353555566,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,253.5,253.5,257.0823913511907
257,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.7089137069939,47.7089137069939,47.76783541510241,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,250.0,250.0,252.9651485343315
258,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.84913591483434,48.84913591483434,47.217678443961255,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,245.0,245.0,247.9783760996051
259,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,46.89078316574628,46.89078316574628,46.918282117622525,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,243.5,243.5,243.7936445481216
260,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,43.66945286101532,43.66945286101532,46.70142866294177,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,241.0,241.0,241.70080090412705
261,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.23653925290612,47.23653925290612,46.5257428488745,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,240.0,240.0,239.87636438582865
262,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.660709510665654,45.660709510665654,46.42305392666701,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,239.90476190476193,239.90476190476193,238.50535197113334
263,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.60751270298997,45.60751270298997,45.93321235761109,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,237.5,237.5,237.56151520261625
264,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.49289563992268,47.49289563992268,45.894787646391386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,237.91304347826087,237.91304347826087,236.70622388694136
265,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.308610752035364,47.308610752035364,45.71137804622361,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.5,235.5,236.21745416561404
266,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.06077507695571,45.06077507695571,45.65697495110253,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.80952380952385,235.80952380952385,235.58334437089044
267,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,37.06775756202872,44.86875802282793,45.48954232460696,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.85930735930737,235.32643921296227
268,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.67674096870015,44.67674096870015,44.97373828514919,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,233.90909090909088,233.90909090909088,234.98481238284438
269,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.2056645286482,44.2056645286482,44.823645082404425,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.45000000000005,235.45000000000005,234.71952830630713
270,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.94755409094739,45.94755409094739,44.585427718351546,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.36363636363637,234.36363636363637,234.62642056153697
271,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,43.60778399317974,43.60778399317974,44.314952882154884,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.39999999999998,235.39999999999998,234.39043557465683
272,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.06426554333072,44.06426554333072,44.53429224199416,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.45000000000005,234.45000000000005,234.3849536737785
273,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.877322379872965,44.877322379872965,44.91405435171402,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.52380952380952,235.52380952380952,234.47442498677924
274,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.428608902487454,45.428608902487454,45.41616870015387,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,233.5,233.5,234.46751425045673
275,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.67103630700132,45.67103630700132,45.74721263579343,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,233.95238095238096,233.95238095238096,234.52129772188727
276,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.99209597710313,45.99209597710313,46.16370102761346,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.0,234.0,234.46095806154761
277,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,46.55260297667627,46.55260297667627,46.575597833609386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.31818181818176,234.31818181818176,234.58194041252995
278,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.21775109293696,48.21775109293696,47.15263494426747,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.5,235.5,234.7906660006673
279,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,47.50478987369687,47.50478987369687,47.53735473054751,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.0,236.0,235.05857044916
280,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.52427810693598,48.52427810693598,47.90024290009644,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.0,234.0,235.21399189046377
281,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,46.68258969587285,46.68258969587285,48.26274828274869,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.0,236.0,235.52787408669892
282,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.89012982693344,48.89012982693344,48.62321290032427,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.5,235.5,235.75753658106726
283,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.69925840224817,48.886151784983404,48.92268389862673,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.0,235.987810228988
284,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.88217374303337,48.88217374303337,49.13935998413404,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.5,236.5,236.09186891539963
285,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.75814289439597,49.75814289439597,49.26505490282384,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.0,235.0,235.95384615384745
286,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,51.20938272567929,49.720397527673285,49.47010252740445,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,235.5,235.7057315233799
287,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.682652160950596,49.682652160950596,49.53246615302111,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.0,236.0,235.34087481146435
288,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.72280947924986,49.72280947924986,49.88858658210107,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,236.0,236.0,234.44751131221852
289,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.611973030565395,49.47216421392478,49.76580083665667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,234.33333333333334,233.69205849564034
290,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.806789767907944,49.22151894859969,49.58791405673944,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,232.66666666666666,232.8570266902761
291,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,48.970873683274604,48.970873683274604,49.156237530390584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,231.0,231.0,231.9908490486509
292,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.62778781169212,48.99169707692824,48.53081083470247,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,230.33333333333334,231.1842059900896
293,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.82536747133446,49.012520470581876,47.89014770633025,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,229.66666666666666,230.25790918374167
294,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,49.03334386423551,49.03334386423551,47.2287322849405,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,229.0,229.0,229.4398246255036
295,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.40803652356695,45.40803652356695,46.60187593635628,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,230.0,230.0,228.82369616743148
296,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,51.35992900622448,45.010402860777475,46.0720062827813,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,228.95652173913044,228.44109121909761
297,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,44.61276919798801,44.61276919798801,45.6528216926783,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,227.91304347826087,227.91304347826087,228.13063151682206
298,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,52.05795606593416,44.98058858204036,45.37295081055428,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,227.6335403726708,227.83603233935844
299,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.86731579409472,45.348407966092715,45.25542531576353,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,227.35403726708074,227.4884554490705
300,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.59874206887602,45.71622735014507,45.35526789067386,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,227.07453416149067,227.14497063039389
301,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,50.994679671982475,46.08404673419742,45.7051984888709,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,226.79503105590064,226.78855568983573
